COUNTRY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,,,,,,,,,,,,,,,,,,,
Afghanistan,5.7,,,,,6.3,,,,,5.1,,,,,4.8,4.7,,
Angola,7.9,,,,,7.2,,,,,5.7,,,,,5,4.7,,
Albania,5.5,,,,,6.7,,,,,7.8,,,,,6,6.3,,
Andorra,,,,,,,,,,,,,,,,,,,
Arab World,4.326124511,,,,,4.308553852,,,,,4.204442427,,,,,4.206200927,4.271911625,,
United Arab Emirates,3.2,,,,,3.1,,,,,3,,,,,2.8,2.8,,
Argentina,9.5,,,,,9,,,,,8.7,,,,,8.8,9.2,,
Armenia,3.3,,,,,4.4,,,,,6,,,,,7,6.6,,
American Samoa,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2,,,,,1.2,,,,,0.3,,,,,0.8,0.5,,
Australia,13.2,,,,,12.3,,,,,12.5,,,,,13.8,13.2,,
Austria,20,,,,,17.3,,,,,16,,,,,16,15.6,,
Azerbaijan,2.2,,,,,3.2,,,,,3.1,,,,,2.7,2.6,,
Burundi,7.1,,,,,8.4,,,,,9,,,,,8.9,9.1,,
Belgium,22.7,,,,,21.2,,,,,21.3,,,,,20.1,20.7,,
Benin,9.5,,,,,9.7,,,,,9.6,,,,,9.9,9.9,,
Burkina Faso,8.2,,,,,7.6,,,,,7.5,,,,,7.7,7.7,,
Bangladesh,6.7,,,,,6.3,,,,,6.4,,,,,6.1,5.9,,
Bulgaria,18.5,,,,,13.4,,,,,12.5,,,,,11.4,11.5,,
Bahrain,6.7,,,,,7,,,,,5.2,,,,,5.9,5.9,,
"Bahamas, The",2,,,,,2.2,,,,,2,,,,,1.8,1.7,,
Bosnia and Herzegovina,10.7,,,,,9.3,,,,,8,,,,,8.9,8.8,,
Belarus,43.1,,,,,45.1,,,,,38.2,,,,,26.3,26.2,,
Belize,5.5,,,,,4.9,,,,,4.9,,,,,4.8,4.7,,
Bermuda,,,,,,,,,,,,,,,,,,,
Bolivia,16.4,,,,,15.3,,,,,14.1,,,,,12.4,12.2,,
Brazil,4.8,,,,,5.5,,,,,5.7,,,,,6.5,6.5,,
Barbados,2.1,,,,,3.7,,,,,2.1,,,,,0.7,0.8,,
Brunei Darussalam,2.8,,,,,3.3,,,,,3.7,,,,,4.5,4.6,,
Bhutan,12.4,,,,,12.2,,,,,11.1,,,,,11.6,11.4,,
Botswana,11.8,,,,,12.6,,,,,11.1,,,,,9.7,9.3,,
Central African Republic,8.8,,,,,8.8,,,,,9.5,,,,,8.1,7.7,,
Canada,13,,,,,13.2,,,,,13,,,,,12.5,12.5,,
Central Europe and the Baltics,19.7160613,,,,,18.23811176,,,,,18.09546109,,,,,15.57878973,15.15730794,,
Switzerland,21.8,,,,,20.8,,,,,16.2,,,,,17.1,17.2,,
Channel Islands,,,,,,,,,,,,,,,,,,,
Chile,10.9,,,,,10.6,,,,,12.2,,,,,10.9,10.6,,
China,13.2,,,,,11.7,,,,,10.9,,,,,9.6,9.7,,
Cote d'Ivoire,9.5,,,,,11.2,,,,,12.7,,,,,14.4,14.5,,
Cameroon,13.3,,,,,11.9,,,,,11.7,,,,,12.3,12.2,,
"Congo, Dem. Rep.",6.6,,,,,6.1,,,,,5.5,,,,,5.6,5.7,,
"Congo, Rep.",10,,,,,9.1,,,,,7.4,,,,,6.1,5.9,,
Colombia,7.6,,,,,6.7,,,,,7.2,,,,,8.3,7.2,,
Comoros,5.1,,,,,6.5,,,,,6.6,,,,,6.8,6.8,,
Cabo Verde,9.4,,,,,10.1,,,,,11.1,,,,,11,11.3,,
Costa Rica,7.3,,,,,7.9,,,,,8.6,,,,,7.9,7.9,,
Caribbean small states,9.075785799,,,,,8.70435801,,,,,9.2909945,,,,,9.13269559,9.100474599,,
Cuba,17.4,,,,,13,,,,,14.4,,,,,13.7,13.9,,
Curacao,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,
Cyprus,2.2,,,,,2.6,,,,,5.7,,,,,4.9,5.3,,
Czech Republic,17,,,,,16.5,,,,,15.4,,,,,13.7,13.1,,
Germany,14.7,,,,,13.6,,,,,13.7,,,,,13.8,13.6,,
Djibouti,5.8,,,,,5.9,,,,,5.2,,,,,6.4,6.7,,
Dominica,,,,,,,,,,,,,,,,,,,
Denmark,16,,,,,16.2,,,,,12.7,,,,,11.9,12.8,,
Dominican Republic,9.1,,,,,8.2,,,,,8,,,,,9.7,9.9,,
Algeria,4.1,,,,,3.8,,,,,3.3,,,,,3.2,3.2,,
East Asia & Pacific (excluding high income),11.10111499,,,,,9.887157985,,,,,9.349417101,,,,,8.407972965,8.46904007,,
Early-demographic dividend,10.89175168,,,,,10.90483247,,,,,10.2212023,,,,,10.06435356,9.935440659,,
East Asia & Pacific,12.06683889,,,,,11.22098457,,,,,10.83905949,,,,,9.545174795,9.508817356,,
Europe & Central Asia (excluding high income),30.77864503,,,,,29.61300675,,,,,23.82844441,,,,,19.29543233,18.61277608,,
Europe & Central Asia,21.98287972,,,,,20.86577253,,,,,18.0019683,,,,,15.79327639,15.49963772,,
Ecuador,6.1,,,,,8.9,,,,,8.5,,,,,9.6,7.1,,
"Egypt, Arab Rep.",3.3,,,,,3.4,,,,,3.6,,,,,3.8,4,,
Euro area,14.47850064,,,,,13.44259086,,,,,13.0689374,,,,,12.92292972,12.95503083,,
Eritrea,11.6,,,,,10.4,,,,,9,,,,,8.1,7.9,,
Spain,8.6,,,,,8.1,,,,,7,,,,,8.1,8.7,,
Estonia,29.5,,,,,22.5,,,,,18.3,,,,,15.8,17.8,,
Ethiopia,8,,,,,7.9,,,,,7.3,,,,,7.2,7.2,,
European Union,14.55732303,,,,,13.56583399,,,,,13.2488122,,,,,12.76562132,12.74096352,,
Fragile and conflict affected situations,6.765646244,,,,,6.858673568,,,,,6.551794279,,,,,6.606093444,6.656705719,,
Finland,24.6,,,,,20.4,,,,,18.9,,,,,14.4,15.9,,
Fiji,4.3,,,,,3.5,,,,,4.8,,,,,5,5,,
France,22.3,,,,,21.1,,,,,20.2,,,,,18,17.7,,
Faroe Islands,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",10.8,,,,,11.9,,,,,11.1,,,,,11.4,11.1,,
Gabon,6.7,,,,,6.1,,,,,6.9,,,,,7.3,7.1,,
United Kingdom,9.1,,,,,8.2,,,,,7.8,,,,,8.7,8.9,,
Georgia,6,,,,,5,,,,,6.9,,,,,8.1,8.2,,
Ghana,4,,,,,4.3,,,,,4.7,,,,,5.3,5.4,,
Gibraltar,,,,,,,,,,,,,,,,,,,
Guinea,6.3,,,,,6.8,,,,,6.6,,,,,6.4,6.3,,
"Gambia, The",6.6,,,,,5.7,,,,,5.1,,,,,5.2,5.1,,
Guinea-Bissau,5,,,,,4.4,,,,,4.2,,,,,3.9,4,,
Equatorial Guinea,15.5,,,,,13.7,,,,,16.7,,,,,16.5,16.4,,
Greece,3.4,,,,,3.5,,,,,3.3,,,,,4.8,5,,
Grenada,1.9,,,,,2.7,,,,,0.9,,,,,1.1,1.7,,
Greenland,,,,,,,,,,,,,,,,,,,
Guatemala,3.2,,,,,3.2,,,,,2.9,,,,,3.1,2.7,,
Guam,,,,,,,,,,,,,,,,,,,
Guyana,23.4,,,,,24.4,,,,,26.8,,,,,29.1,29.2,,
High income,14.4295368,,,,,14.61620697,,,,,14.92322814,,,,,14.31654,14.2217117,,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,
Honduras,2.3,,,,,2.5,,,,,2.5,,,,,2.8,2.9,,
Heavily indebted poor countries (HIPC),7.911468259,,,,,7.519668474,,,,,7.104517252,,,,,7.055557429,7.058603456,,
Croatia,21.3,,,,,20.2,,,,,18.6,,,,,17.8,16.5,,
Haiti,8.7,,,,,9.5,,,,,10.2,,,,,11.7,11.7,,
Hungary,32.5,,,,,26.7,,,,,26,,,,,20.3,19.1,,
IBRD only,14.01784189,,,,,13.32308257,,,,,12.13918688,,,,,11.27332059,11.14756035,,
IDA & IBRD total,12.59441729,,,,,11.90232269,,,,,10.85997461,,,,,10.11510942,10.00442182,,
IDA total,7.357903171,,,,,7.002371992,,,,,6.730365672,,,,,6.604065702,6.583676828,,
IDA blend,7.133504554,,,,,6.735643157,,,,,6.575551757,,,,,6.399362285,6.370578137,,
Indonesia,3.9,,,,,3.8,,,,,3.6,,,,,3.4,3.4,,
IDA only,7.4726161,,,,,7.137839229,,,,,6.809228443,,,,,6.709069223,6.6930555,,
Isle of Man,,,,,,,,,,,,,,,,,,,
India,17.4,,,,,17.6,,,,,16.5,,,,,16.5,16.3,,
Not classified,,,,,,,,,,,,,,,,,,,
Ireland,12.4,,,,,11.9,,,,,12,,,,,11.5,11.5,,
"Iran, Islamic Rep.",10.7,,,,,10.7,,,,,6.6,,,,,4,4.1,,
Iraq,2.7,,,,,2.5,,,,,2.8,,,,,3.1,3,,
Iceland,16.2,,,,,12.2,,,,,13.3,,,,,14,14,,
Israel,7.5,,,,,7.6,,,,,7.3,,,,,5,5.4,,
Italy,7.8,,,,,7,,,,,7.5,,,,,8,8.2,,
Jamaica,2.3,,,,,1.9,,,,,2,,,,,2.1,2.2,,
Jordan,3.4,,,,,3.1,,,,,2.8,,,,,2.9,2.9,,
Japan,24.7,,,,,24.9,,,,,24.4,,,,,19.4,18.5,,
Kazakhstan,34,,,,,39.4,,,,,32.7,,,,,24.9,22.5,,
Kenya,4.4,,,,,3.9,,,,,3.1,,,,,3.1,3.2,,
Kyrgyz Republic,12.6,,,,,10.9,,,,,11.3,,,,,8.1,8.3,,
Cambodia,5.6,,,,,5.9,,,,,5.4,,,,,5.3,5.3,,
Kiribati,13.7,,,,,13.9,,,,,14.5,,,,,14.5,14.4,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",14.8,,,,,26.8,,,,,34.1,,,,,28.3,26.9,,
Kuwait,2,,,,,2.3,,,,,1.9,,,,,2.3,2.3,,
Latin America & Caribbean (excluding high income),6.235371333,,,,,6.263815207,,,,,6.305898537,,,,,6.949673228,6.699865232,,
Lao PDR,10.1,,,,,9.4,,,,,8.9,,,,,8.5,8.6,,
Lebanon,3,,,,,3.1,,,,,3.2,,,,,3.3,3.3,,
Liberia,5.7,,,,,6.8,,,,,6.5,,,,,6.5,6.8,,
Libya,5.3,,,,,5.6,,,,,5.4,,,,,4.2,5.2,,
St. Lucia,6.4,,,,,3,,,,,6.1,,,,,7.8,7.8,,
Latin America & Caribbean,6.460297796,,,,,6.455218923,,,,,6.5421031,,,,,7.121274906,6.870605792,,
Least developed countries: UN classification,7.654805272,,,,,7.248138412,,,,,6.816237649,,,,,6.61413724,6.575239938,,
Low income,7.752118951,,,,,7.292634698,,,,,6.829319677,,,,,6.648499661,6.630166496,,
Liechtenstein,,,,,,,,,,,,,,,,,,,
Sri Lanka,28.8,,,,,23.1,,,,,19.1,,,,,14.8,14.6,,
Lower middle income,11.99965038,,,,,11.84619511,,,,,11.08360267,,,,,10.86070605,10.73596102,,
Low & middle income,12.55836776,,,,,11.85789183,,,,,10.81007903,,,,,10.08251056,9.970908479,,
Lesotho,18,,,,,18.6,,,,,20.1,,,,,21,21.2,,
Late-demographic dividend,15.02551061,,,,,13.71217092,,,,,12.34649318,,,,,10.8629522,10.78960646,,
Lithuania,50.7,,,,,43.9,,,,,37.3,,,,,34.9,31.9,,
Luxembourg,16.8,,,,,14.3,,,,,12.9,,,,,14.7,13.5,,
Latvia,34.7,,,,,26.7,,,,,22.7,,,,,21.6,21.2,,
"Macao SAR, China",,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,
Morocco,6.9,,,,,5.3,,,,,3.7,,,,,2.9,2.9,,
Monaco,,,,,,,,,,,,,,,,,,,
Moldova,16.4,,,,,19.2,,,,,20.9,,,,,16.4,15.9,,
Madagascar,4.7,,,,,4.5,,,,,4.3,,,,,4,3.9,,
Maldives,4.4,,,,,3.3,,,,,3.2,,,,,2.6,2.3,,
Middle East & North Africa,5.415434436,,,,,5.29356129,,,,,4.385055688,,,,,3.815635167,3.890474991,,
Mexico,3.6,,,,,4.3,,,,,4.6,,,,,5.6,5.1,,
Marshall Islands,,,,,,,,,,,,,,,,,,,
Middle income,13.01747536,,,,,12.32845786,,,,,11.25352806,,,,,10.49125194,10.37418559,,
North Macedonia,7.7,,,,,7.2,,,,,5.9,,,,,7.8,7.9,,
Mali,5.5,,,,,4.9,,,,,4.8,,,,,4.8,4.8,,
Malta,6.5,,,,,5.6,,,,,8,,,,,8,7.5,,
Myanmar,7.3,,,,,7.7,,,,,7.3,,,,,7.6,7.8,,
Middle East & North Africa (excluding high income),5.622812323,,,,,5.494024035,,,,,4.447236302,,,,,3.848995827,3.929441107,,
Montenegro,10.4,,,,,11.4,,,,,10.4,,,,,10,10.3,,
Mongolia,17.9,,,,,17.1,,,,,16.6,,,,,13.1,13,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,
Mozambique,8.8,,,,,6.7,,,,,5.6,,,,,4.9,4.9,,
Mauritania,3.4,,,,,3.5,,,,,3.9,,,,,4.3,4.4,,
Mauritius,11.1,,,,,8.8,,,,,8.1,,,,,8.5,7.8,,
Malawi,6.2,,,,,4.5,,,,,3.8,,,,,3.6,3.7,,
Malaysia,5.3,,,,,5.4,,,,,5.1,,,,,5.4,5.5,,
North America,11.46674461,,,,,12.0278888,,,,,13.18019119,,,,,14.74959075,15.01850791,,
Namibia,10.9,,,,,10.4,,,,,10.4,,,,,9,8.7,,
New Caledonia,,,,,,,,,,,,,,,,,,,
Niger,4.6,,,,,4.9,,,,,4.9,,,,,4.7,4.6,,
Nigeria,10.2,,,,,9.6,,,,,10,,,,,9.6,9.5,,
Nicaragua,17.2,,,,,14.4,,,,,12.5,,,,,12.2,12.2,,
Netherlands,9.8,,,,,9.9,,,,,10,,,,,12.5,12.6,,
Norway,13.3,,,,,12.7,,,,,12.6,,,,,12.4,12.2,,
Nepal,15.4,,,,,12.5,,,,,10.5,,,,,9.1,8.8,,
Nauru,,,,,,,,,,,,,,,,,,,
New Zealand,12.9,,,,,13.3,,,,,13,,,,,12.1,12.1,,
OECD members,13.41580212,,,,,13.68052506,,,,,14.06776587,,,,,13.56309426,13.43154626,,
Oman,4.3,,,,,3.4,,,,,3.7,,,,,4.1,3.9,,
Other small states,10.79502599,,,,,9.70686568,,,,,9.361702979,,,,,9.05596563,9.069346982,,
Pakistan,3.4,,,,,3.5,,,,,3.1,,,,,2.9,2.9,,
Panama,6,,,,,6.3,,,,,5.1,,,,,3.9,4.3,,
Peru,5.1,,,,,4.6,,,,,4.6,,,,,4.9,4.9,,
Philippines,2.5,,,,,2.6,,,,,3.3,,,,,3.2,3.2,,
Palau,,,,,,,,,,,,,,,,,,,
Papua New Guinea,7.1,,,,,5.8,,,,,5.4,,,,,6,6,,
Poland,16.9,,,,,17.7,,,,,18.6,,,,,15.8,16.2,,
Pre-demographic dividend,7.804320667,,,,,7.371555908,,,,,7.157446536,,,,,7.015220058,6.989474529,,
Puerto Rico,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People’s Rep.",10,,,,,10.9,,,,,11.9,,,,,11.4,11.2,,
Portugal,7.5,,,,,11.1,,,,,13.5,,,,,13.8,14,,
Paraguay,10.1,,,,,10.1,,,,,9.3,,,,,9.9,9.5,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,
Pacific island small states,7.248929153,,,,,5.908132927,,,,,5.818021308,,,,,5.579070303,5.496650314,,
Post-demographic dividend,16.16154053,,,,,16.16561717,,,,,16.10673866,,,,,15.39799644,15.26858128,,
French Polynesia,,,,,,,,,,,,,,,,,,,
Qatar,3.4,,,,,3.2,,,,,6.1,,,,,6.5,6.6,,
Romania,13.2,,,,,12.5,,,,,14,,,,,11.6,10.4,,
Russian Federation,52.6,,,,,51.6,,,,,40,,,,,32.1,31,,
Rwanda,15.6,,,,,10.9,,,,,7.5,,,,,6.8,6.7,,
South Asia,14.92522437,,,,,14.86561375,,,,,13.84836448,,,,,13.65027287,13.45853067,,
Saudi Arabia,2.8,,,,,3,,,,,3.4,,,,,3.2,3.2,,
Sudan,7.9,,,,,8.4,,,,,8,,,,,8,8.1,,
Senegal,7.7,,,,,8.1,,,,,6.9,,,,,6.2,6,,
Singapore,12.4,,,,,11.6,,,,,10,,,,,9,9.9,,
Solomon Islands,11.2,,,,,7.6,,,,,5.8,,,,,4.9,4.7,,
Sierra Leone,11.1,,,,,10.4,,,,,9.2,,,,,9.3,9.7,,
El Salvador,13.4,,,,,9.9,,,,,10.8,,,,,14,13.7,,
San Marino,,,,,,,,,,,,,,,,,,,
Somalia,4.7,,,,,4.8,,,,,4.3,,,,,4.7,4.7,,
Serbia,21,,,,,18.8,,,,,15.9,,,,,15,15.6,,
Sub-Saharan Africa (excluding high income),8.45687885,,,,,8.027887651,,,,,7.747311894,,,,,7.568513817,7.53958766,,
South Sudan,4.8,,,,,4.6,,,,,4.1,,,,,3.7,3.7,,
Sub-Saharan Africa,8.456908497,,,,,8.028004702,,,,,7.747482616,,,,,7.568685693,7.539750659,,
Small states,10.18999457,,,,,9.257318552,,,,,9.13319815,,,,,8.865160787,8.865109026,,
Sao Tome and Principe,2,,,,,1.8,,,,,2,,,,,2.3,2.3,,
Suriname,23.5,,,,,26.5,,,,,27,,,,,23.8,22.8,,
Slovak Republic,14.4,,,,,13.8,,,,,13.9,,,,,12.8,12.8,,
Slovenia,32.4,,,,,27.1,,,,,20.7,,,,,21,18.6,,
Sweden,15.6,,,,,16.4,,,,,15.3,,,,,15.7,14.8,,
Eswatini,11.6,,,,,12,,,,,11.9,,,,,13.1,13.3,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,
Seychelles,8.7,,,,,9.1,,,,,9.4,,,,,9.4,9.3,,
Syrian Arab Republic,1.3,,,,,1.6,,,,,1.9,,,,,1.9,1.9,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,
Chad,8,,,,,8.5,,,,,8.7,,,,,8.9,8.8,,
East Asia & Pacific (IDA & IBRD countries),11.11519296,,,,,9.874219473,,,,,9.317163247,,,,,8.370538721,8.434954451,,
Europe & Central Asia (IDA & IBRD countries),29.45555759,,,,,28.47040471,,,,,23.32459734,,,,,18.98724282,18.39140708,,
Togo,9.6,,,,,9.9,,,,,9.5,,,,,9.4,9.6,,
Thailand,16.2,,,,,12.7,,,,,14.3,,,,,14.6,14.4,,
Tajikistan,3,,,,,2.9,,,,,2.5,,,,,2.5,2.5,,
Turkmenistan,9.1,,,,,11.7,,,,,7.6,,,,,7.2,6.7,,
Latin America & the Caribbean (IDA & IBRD countries),6.224183751,,,,,6.322781244,,,,,6.393430036,,,,,7.004802931,6.746669249,,
Timor-Leste,9.3,,,,,6.2,,,,,5.3,,,,,4.6,4.6,,
Middle East & North Africa (IDA & IBRD countries),5.622812323,,,,,5.494024035,,,,,4.447236302,,,,,3.848995827,3.929441107,,
Tonga,3.6,,,,,3.4,,,,,3.6,,,,,3.5,3.5,,
South Asia (IDA & IBRD),14.92522437,,,,,14.86561375,,,,,13.84836448,,,,,13.65027287,13.45853067,,
Sub-Saharan Africa (IDA & IBRD countries),8.456908497,,,,,8.028004702,,,,,7.747482616,,,,,7.568685693,7.539750659,,
Trinidad and Tobago,14.9,,,,,12.3,,,,,14.5,,,,,13.6,13.6,,
Tunisia,3.5,,,,,3.6,,,,,3.6,,,,,3.4,3.4,,
Turkey,7.2,,,,,7.6,,,,,8.4,,,,,7.3,7.3,,
Tuvalu,,,,,,,,,,,,,,,,,,,
Tanzania,6.9,,,,,5.5,,,,,5.3,,,,,5.4,5.4,,
Uganda,11.1,,,,,10.5,,,,,10.5,,,,,9.9,9.9,,
Ukraine,36.9,,,,,34.5,,,,,27.1,,,,,23.1,22.4,,
Upper middle income,14.01895863,,,,,12.82487048,,,,,11.43619187,,,,,10.07937758,9.968196217,,
Uruguay,17.4,,,,,15.3,,,,,16.6,,,,,19.4,18.4,,
United States,11.3,,,,,11.9,,,,,13.2,,,,,15,15.3,,
Uzbekistan,7.6,,,,,5.8,,,,,6,,,,,7.4,7.4,,
St. Vincent and the Grenadines,6.3,,,,,9.9,,,,,3.3,,,,,2.7,2.4,,
"Venezuela, RB",8,,,,,5.9,,,,,4.3,,,,,3.8,3.7,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,
Vietnam,6.7,,,,,6.7,,,,,7,,,,,7.2,7.3,,
Vanuatu,7.3,,,,,5.7,,,,,5.1,,,,,4.5,4.5,,
World,12.87959448,,,,,12.31778182,,,,,11.48043708,,,,,10.75233895,10.63962746,,
Samoa,8.3,,,,,6.5,,,,,5,,,,,4.5,4.4,,
Kosovo,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",6.8,,,,,8.1,,,,,8.8,,,,,8.6,8.5,,
South Africa,11.6,,,,,11.8,,,,,12.2,,,,,11.8,11.6,,
Zambia,8.1,,,,,6.5,,,,,6.3,,,,,6.1,6.1,,
Zimbabwe,12.9,,,,,13.9,,,,,11.9,,,,,10.6,10.7,,
